ID,GAME,PLATFORM,YEAR,GENRE,PUBLISHER,NA_SALES,EU_SALES,JP_SALES,OTHERS_SALES,GLOBAL_SALES,CRITIC_SCORE,CRITIC_COUNT,USER_SCORE,USER_COUNT
471,Big Mutha Truckers,PS2,2002,Racing,Empire Interactive,0.41,0.32,0,0.11,0.84,62,15,5.3,20
472,Big Mutha Truckers,XB,2002,Racing,Empire Interactive,0.15,0.04,0,0.01,0.19,59,12,4.3,9
473,Blade II,PS2,2002,Action,Activision,0.15,0.12,0,0.04,0.31,49,21,6.1,14
474,Blade II,XB,2002,Action,Activision,0.1,0.03,0,0,0.13,53,20,4,4
475,Blinx: The Time Sweeper,XB,2002,Platform,Microsoft Game Studios,0.39,0.15,0,0.02,0.56,71,36,8,41
476,Blood Omen 2,PS2,2002,Action,Eidos Interactive,0.19,0.15,0,0.05,0.39,67,18,8.8,19
477,Blood Omen 2,XB,2002,Action,Eidos Interactive,0.14,0.04,0,0.01,0.19,76,22,9,9
478,BloodRayne,PS2,2002,Shooter,Universal Interactive,0.2,0.16,0,0.05,0.42,75,18,8.5,26
479,BloodRayne,XB,2002,Shooter,Universal Interactive,0.16,0.05,0,0.01,0.21,76,20,7.5,6
480,BloodRayne,GC,2002,Shooter,Universal Interactive,0.09,0.02,0,0,0.11,73,17,8.5,4
